intent,button,entities
affirm,Yes,
ask/builder,Who built you?,
ask_faq_channels,What channels does Rasa support?,
ask_faq/community_size,How big is the Rasa community?,
ask_faq/differencecorenlu,What is the difference between Core and NLU?,
ask_faq/differencerasarasax,What is the difference between Rasa and Rasa X?
ask_faq_languages,What languages does Rasa support?,
ask_faq/opensource,Is Rasa open-source?,
ask_faq_ee,What is Rasa X Enterprise Edition?,
ask_faq/python_version,Which Python version is needed?,
ask_faq/rasax,What is Rasa X?
ask_faq_slots,What are slots?,
ask_faq/tutorialcore,I want a tutorial for Rasa Core.,
ask_faq/tutorialnlu,I want a tutorial for Rasa NLU.,
ask_faq/tutorials,I want to see a Rasa tutorial.,
ask_faq_voice,Can I build a voice bot with Rasa?,
ask_faq/what_is_forum,What is the Rasa forum?,
ask/how_contribute,How can I contribute?,
ask/howbuilt,How were you built?,
ask/howdoing,How do you feel?,
ask/howold,How old are you?,
ask/isbot,Are you a bot?,
ask/languagesbot,What languages do you speak?,
ask/question_in_forum,How can I ask a question in the forum?,
ask/restaurant,Can you recommend a restaurant?,
ask/time,What time is it?,
ask/weather,How's the weather?,
ask/whatismyname,What is your name?,
ask/whatisrasa,What is Rasa?,
ask/whatspossible,What can you do for me?,
ask/when_next_event,When is the next event?,
ask/when_next_event,When is the next event in {location}?,location
ask/wherefrom,Where are you from?,
ask/which_events,Which community events take place?,
ask/whoami,Who are you?,
ask/whoisit,Who are you?,
ask/why_contribute,Why should I contribute?,
bye,Bye!,
canthelp,You can't help me.,
contact_sales,Talk to Sales,
deny,No,
enter_data,I want to give you more information,
enter_data,The language is {language}.,language
enter_data,{entity},entity
enter_data,My job is {job_function},job_function
enter_data,{number},number
enter_data,{amount-of-money},amount-of-money
enter_data,My name is {name},name
enter_data,My company is {company},company
enter_data,My email is {email},email
enter_data,Install Rasa Stack with {package_manager},package_manager
explain,Can you explain that?
feedback,I want to give you feedback.,
feedback,{feedback_value} feedback,feedback_value
greet,"Say ""Hi!"" ",
ask/handleinsult,You wanted to insult me ðŸ˜”.,
how_to_get_started,How to get started with Rasa?,
how_to_get_started,I am new to Rasa and want to get started.,user_type
how_to_get_started,How to get started with {product}?,product
human_handoff,Talk to a human,
install_rasa,I want to install Rasa.,
install_rasa,I want to install Rasa with {package_manager}.,package_manager
next_step,I want to go to the next step.,
ask/nicetomeeyou,Nice to meet you.,
nlu_generation_tool_recommendation,I want a recommendation for an NLU data generation tool.,
nlu_info,I want more information about NLU.,
nlu_info,I want info on {nlu_part}.,nlu_part
pipeline_recommendation,I want a pipeline recommendation.,
rasa_cost,How much does Rasa cost?,
react_negative,I'm sad!,
react_positive,I'm happy!,
signup_newsletter,Signup for the newsletter,
signup_newsletter,Signup for the newsletter with {email},email
source_code,Where can I see your source code.,
suggestion,A suggestion of how I can improve.,
switch,I want to migrate.,
switch,I want to migrate from {current_api}.,current_api
technical_question,A technical question.,
ask/telljoke,Tell me a joke!,
thank,Thanks!,